envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
249	3213000	3453000	3333000	3333000	2973000	2973000	
250	3234000	3570000	3330000	3330000	2970000	2970000	
251	3231000	3567000	3327000	3327000	2967000	2967000	
252	3252000	3564000	3324000	3324000	3084000	2964000	
253	3249000	3561000	3321000	3321000	3081000	2961000	
254	3270000	3558000	3438000	3318000	3078000	2958000	
255	3315000	3555000	3435000	3435000	3195000	2955000	
256	3312000	3552000	3432000	3432000	3192000	2952000	
257	3309000	3549000	3429000	3429000	3189000	2949000	
258	3330000	3546000	3546000	3426000	3186000	2946000	
259	3327000	3543000	3543000	3423000	3183000	2943000	
260	3324000	3540000	3540000	3420000	3180000	2940000	
261	3345000	3537000	3537000	3537000	3177000	2937000	
262	3342000	3534000	3534000	3534000	3174000	2934000	
263	3363000	3531000	3531000	3531000	3291000	2931000	
264	3360000	3528000	3528000	3528000	3288000	2928000	
265	3381000	3525000	3525000	3525000	3405000	2925000	
266	3402000	3522000	3522000	3522000	3522000	2922000	
267	3423000	3519000	3639000	3519000	3519000	2919000	
268	3420000	3516000	3636000	3516000	3516000	2916000	
269	3417000	3513000	3633000	3513000	3513000	2913000	
270	3414000	3510000	3630000	3510000	3510000	2910000	
271	3435000	3507000	3627000	3507000	3507000	3027000	
272	3432000	3504000	3624000	3504000	3504000	3024000	
273	3453000	3501000	3621000	3501000	3501000	3141000	
274	3474000	3498000	3738000	3498000	3498000	3138000	
275	3543000	3495000	3855000	3495000	3615000	3255000	
276	3588000	3492000	3972000	3612000	3612000	3252000	
277	3585000	3489000	3969000	3609000	3609000	3249000	
278	3582000	3486000	3966000	3606000	3606000	3246000	
279	3579000	3483000	3963000	3603000	3603000	3243000	
280	3576000	3480000	3960000	3600000	3600000	3240000	
281	3597000	3477000	4077000	3597000	3597000	3237000	
282	3642000	3474000	4194000	3714000	3594000	3234000	
283	3663000	3471000	4191000	3711000	3711000	3231000	
284	3660000	3468000	4188000	3708000	3708000	3228000	
285	3705000	3585000	4185000	3705000	3705000	3345000	
